Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
Brd2,11168.69857,12000.76306,10634.44209,11314.60979,11133.45873,13819.38605,12769.38109,12425.42966,13460.61528,12825.41198,12670.18041,11710.9938,13918.45413,14026.66265,14397.42969
Brd3,3063.0051,3316.616119,3463.592409,3982.912312,3819.247697,3527.522087,3815.071801,3467.182022,3515.060826,3552.772962,3685.321902,3637.466159,3537.292326,3140.606102,3030.981915
Brd3os,1261.54574,1111.778812,1203.526841,1285.220906,1010.305657,1211.927878,1469.634606,1050.49628,1450.197555,1344.345669,1382.125808,1327.16951,1182.160033,1354.365984,1259.987575
Brd4,6199.396518,5742.977175,5914.051977,6166.303274,6202.509415,5572.462428,5822.742127,5754.143266,5522.592891,5518.115788,5913.583465,5687.124649,6201.746286,5796.033706,5767.683426
Brd7,1931.632709,1955.233084,2015.41421,2143.095256,2023.351746,1777.293737,2093.357497,2580.882483,2047.00601,2208.427292,1854.629661,2103.871227,2030.497673,1929.835547,2209.758984
Brd8,2963.409384,2774.766951,2756.273765,2831.303481,2557.735841,2905.01819,2582.571457,3017.22852,2902.274821,3045.93693,2836.063876,2739.828337,2796.145363,2777.266151,2591.154886
Brd8dc,3.494586538,13.52022877,3.945989643,22.26867906,40.19299179,56.13561719,9.963624448,25.40060089,22.55654006,27.55613377,13.52984601,6.255315837,37.77195269,8.702753313,25.49721905
Brd9,3726.102896,3577.660536,2859.855993,3064.594404,3478.520744,3375.153984,3141.530788,2941.933882,3399.458558,4051.735812,3970.489426,4072.21061,2913.544675,3930.380965,3720.469213
Brdt,842.1953555,1069.13809,887.8476696,828.1827784,944.5353071,1111.685705,780.1517943,739.3389188,1113.729165,913.2890051,1115.691917,1283.382299,908.5685917,1091.107697,852.0320699
Brf1,1992.787973,2268.278381,2153.523847,1978.731197,2162.200263,2183.27454,2006.673964,2001.204485,1838.358015,2056.868557,1963.909186,2153.913753,2096.853806,1970.085781,2386.114749
Brf2,771.4299782,879.8548877,845.4282809,765.6183944,802.0328817,713.7242757,889.7516632,829.1481862,932.3369891,876.8755426,737.8969863,953.9356652,778.9189163,853.9576688,889.2155144
Bri3,2831.488742,3051.411632,2849.004522,2945.828116,3235.535839,3243.836736,3339.806915,2970.96314,2995.320549,3322.482415,2506.143784,2693.956021,3075.861985,3129.72766,3626.97941
Bri3bp,6132.999373,7058.599436,6546.396817,7801.460565,8150.95604,7125.213696,7669.9981,7358.916944,7618.471405,7339.77306,8492.580266,7213.421713,6584.570131,7618.172681,7649.165715
Brinp1,7216.3212,7831.332511,6354.029822,6736.805623,8241.390271,6379.411925,7065.206096,8445.699796,7625.990252,8795.327412,7658.9336,7820.187349,6862.245026,8588.529676,7927.510356
Brinp2,3311.994391,3894.865903,3563.228647,3384.839217,4796.668179,4234.229411,4380.009307,4844.257456,3870.326332,4518.221791,4247.33089,3673.955502,3962.992442,4412.29593,4713.798372
Brinp3,1413.560254,1576.666678,1302.176582,1290.522972,1422.283823,1499.622916,1622.07806,1914.11671,1405.084475,1531.33372,1719.331201,1456.446037,1510.878108,1230.35175,1639.258708
Brip1,26.20939903,11.44019357,39.45989643,23.32909235,74.90512107,7.016952149,5.978174669,7.25731454,11.27827003,3.936590539,6.244544313,20.85105279,38.79281628,21.75688328,24.43483492
Brix1,1011.682803,990.096753,886.8611722,1039.205023,1267.906196,1020.465327,1066.107816,899.907003,1075.195076,1140.627109,884.6437777,1001.893087,1101.51181,986.6746568,780.8523334
Brk1,5498.731917,6703.953435,6366.854288,5858.78342,6031.6892,6191.95906,6394.654171,6109.751679,6303.613091,6580.995234,5871.953169,6054.103178,6824.473074,6966.554027,7369.75869
Brme1,126.678762,83.20140782,211.1104459,109.2225687,130.6272233,172.4165385,179.3452401,177.8042062,125.0008262,104.3196493,137.3799749,100.0850534,87.79426841,154.4738713,165.7319238
