Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Abcg3,32.3891756,-1.009568625,0.752030419,-1.342457165,0.17944781,0.99947604
Abcg4,3036.173659,-0.037935088,0.092030401,-0.412201704,0.680191588,0.99947604
Abcg5,3.05477337,-2.261073208,2.466549131,-0.916694981,0.359302497,0.99947604
Abcg8,0.888830801,3.229873923,3.685497385,0.876373956,0.380826772,0.99947604
Abhd10,1065.45898,0.126153256,0.114369439,1.10303292,0.270012869,0.99947604
Abhd11,913.082694,-0.00618465,0.112160769,-0.055140941,0.956026179,0.99947604
Abhd12,14536.45494,0.025490922,0.064142771,0.397409119,0.691065792,0.99947604
Abhd12b,72.66500578,-0.159316484,0.992028235,-0.160596723,0.872411036,0.99947604
Abhd13,2362.636656,-0.001232429,0.085142206,-0.014474949,0.988451065,0.99947604
Abhd14a,821.6261699,-0.00745116,0.142031206,-0.052461431,0.958161027,0.99947604
Abhd14b,499.1434154,0.254724535,0.211931329,1.20192015,0.229394467,0.99947604
Abhd15,89.4021708,-0.126790975,0.428284113,-0.296044078,0.76719642,0.99947604
Abhd16a,3405.734748,-0.027111475,0.098276337,-0.275869816,0.782648058,0.99947604
Abhd16b,1.149036768,0.219818422,3.038450276,0.072345571,0.942326899,0.99947604
Abhd17a,8223.579088,0.07969426,0.096232499,0.828142892,0.407589581,0.99947604
Abhd17b,2258.262153,-0.025893417,0.082049809,-0.315581681,0.752320044,0.99947604
Abhd17c,1988.912882,0.115953358,0.087559282,1.324284012,0.185408738,0.99947604
Abhd18,772.2958153,-0.150987565,0.126100613,-1.197357899,0.231167086,0.99947604
Abhd2,6760.180493,-0.120633696,0.108343674,-1.113435523,0.265521426,0.99947604
Abhd3,3242.177112,-0.03834355,0.086981011,-0.440826678,0.659338478,0.99947604
Abhd4,5500.162346,0.029059056,0.083377598,0.348523548,0.727447032,0.99947604
Abhd5,858.6890837,0.074599216,0.128306153,0.581415732,0.560960297,0.99947604
Abhd6,2345.618213,-0.021554656,0.083765162,-0.257322441,0.79692987,0.99947604
Abhd8,16077.69724,0.09281774,0.086459282,1.073542804,0.283027644,0.99947604
Abi1,6124.495634,-0.058460756,0.090323877,-0.6472348,0.517479992,0.99947604
Abi2,10130.28418,0.054409087,0.058541909,0.929404048,0.352679731,0.99947604
Abi3,260.4023178,0.494094369,0.280288779,1.762804671,0.077933439,0.99947604
Abi3bp,328.583113,0.034554943,0.299488392,0.115379907,0.908144005,0.99947604
Abitram,1160.676754,-0.01636673,0.096006735,-0.170474809,0.864636744,0.99947604
Abl1,3994.952475,-0.025508917,0.092822399,-0.274814244,0.783458954,0.99947604
Abl2,4282.908209,0.003177136,0.083184207,0.038193976,0.969533024,0.99947604
Ablim1,6636.930871,-0.123022419,0.074374526,-1.654093497,0.098108517,0.99947604
Ablim2,6366.386757,0.118413277,0.08132424,1.456063739,0.145375,0.99947604
Ablim3,1667.776602,-0.118355576,0.113651915,-1.041386557,0.297696179,0.99947604
Abo,2.356443316,3.950819321,2.939553889,1.344020035,0.178941908,0.99947604
Abr,27299.83952,0.030183497,0.051626556,0.584650605,0.558782674,0.99947604
Abra,13.84321488,0.869383891,1.353759423,0.642199697,0.52074353,0.99947604
Abracl,316.9829615,-0.021322088,0.255245355,-0.083535654,0.933425628,0.99947604
Abraxas1,240.5245594,-0.234927917,0.204214783,-1.150396233,0.249980711,0.99947604
Abraxas2,1622.288336,-0.135038221,0.101858789,-1.32573951,0.184925996,0.99947604
Abt1,811.8650184,-0.044382087,0.123891212,-0.358234342,0.720167949,0.99947604
Abtb1,1565.951346,0.023619848,0.133935914,0.17635186,0.860017522,0.99947604
Abtb2,1024.932251,0.063654111,0.120518332,0.528169534,0.597381673,0.99947604
