reaction_id,reaction_name,subsystem,genes,minimum,maximum
ECOAR,Trans-2-enoyl-CoA reductase (18:0) (NADPH),Fatty acid synthesis,,0.0,3.083755473198835e-12
NACHEXA21ly,"Beta-N-acetylhexosaminidase A, lysosomal",Keratan sulfate degradation,15211;15212,0.0,0.0
GQ1Btg,Gq1b hs intracellular transport,"Transport, golgi apparatus",,0.0,0.0
HMR_0831,HMR 0831,"Transport, lysosomal",,0.0,0.0
r2495,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14,"Transport, extracellular",108096,0.0,1000.0
THYOCHOLt2,Taurohyocholic acid transport via sodium cotransport,"Transport, extracellular",20493;20494,0.0,1000.0
r1911,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
RE1897C,Deoxyhypusine Synthase,Urea cycle,,0.0,0.0
HMR_0235,HMR 0235,"Transport, extracellular",11303,0.0,0.0
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,Glycerophospholipid metabolism,11677;58810,-1.9872992140790302e-12,0.0
UDCA3St,Ursodeoxycholic acid 3-sulfate transport via bicarbonate countertransport,"Transport, extracellular",101488;28253,0.0,0.0
FACOAL2251,Fatty-acid--CoA ligase,Fatty acid oxidation,14081,0.0,1.5916157281026244e-12
ILEPHELAT2tc,Transport of L-Isoleucine into the cell and efflux of L-Phenylalanine out of the cell by LAT2 on the basolateral surfaces of kidney and intestine and Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",50934,-1000.0,1000.0
MMAte,Transport via Proton Antiport (Ammonium Transporter Rh Type C Or Type B) into Extracellular Space,"Transport, extracellular",56315;58176,-1000.0,1000.0
O16G2e,"Oligo-1,6-glucosidase (strch2 ->strch3), extracellular",Starch and sucrose metabolism,69983,0.0,9.221265726308855e-13
PIt9,Phosphate transport in/out via two Na+ symporter,"Transport, extracellular",142681,-1000.0,1000.0
HMR_0419,HMR 0419,"Transport, extracellular",11303,0.0,0.0
