reaction_id,reaction_name,subsystem,genes,minimum,maximum
SSALxm,"Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",Glutamate metabolism,214579,-1000.0,-1000.0000000000028
EX_profvs_e,Exchnage reaction for des-isoproylpropionic-acid-fluvastatin in hepatic vein,Exchange/demand reaction,,0.0,-2.3668423542905404e-12
HMR_0981,Leukotriene-B4 20-Monooxygenase,Arachidonic acid metabolism,106648;631304;170716;320997;72054,0.0,0.0
UDPGALtg,UDP-Gal Golgi transport via CMP antiport,"Transport, golgi apparatus",22232,0.0,0.0
EX_glygn4_e,"Glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]}) exchange",Exchange/demand reaction,,0.0,0.0
HMR_3108,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,93747;97212,0.0,0.0
HMR_6595,1-Phosphatidylinositol-4-Phosphate 5-Kinase,Inositol phosphate metabolism,227733;18719;18717;18720,0.0,0.0
HMR_3246,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15107;97212;15108,0.0,0.0
NTD4l,"5'-nucleotidase (CMP), lysosome",Pyrimidine catabolism,11433;11432;66659;56318,0.0,0.0
HMR_2368,"Linoleoyl Coenzyme A, Ferrocytochrome B5:Oxygen Oxidoreductase (6, 7 Cis-Dehydrogenating)",Fatty acid synthesis,60527;76267;56473,0.0,0.0
NTD9l,"5'-nucleotidase (GMP), lysosome",Purine catabolism,11433;11432;66659;56318,0.0,0.0
HMR_2773,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12896;12908,0.0,0.0
HMR_3636,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
CHOLtu,Choline uniport,"Transport, extracellular",20520;20518,-1000.0,1000.0
MI134PP,"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase",Inositol phosphate metabolism,16329,0.0,0.0
GSNt,Guanosine facilated transport in cytosol,"Transport, extracellular",63959;13340,-1000.0,899.9999999999997
UMPK5,UMP kinase (dATP),Nucleotide interconversion,66588,-1000.0,1000.0
GLCURtly,Glucuronate transport into lysososme,"Transport, lysosomal",235504,0.0,0.0
HMR_0240,HMR 0240,"Transport, extracellular",14080;12140;14077;16592;26457;16204;12491;225579;26568;26569;75497;11770;21884,0.0,0.0
NEU24,"Sialidase, Cytosol (Neu2)",Sphingolipid metabolism,23956,0.0,0.0
4HOXPACDOX_NADP,4HOXPACDOX LPAREN NADP RPAREN,Tyrosine metabolism,67689;73458;621603;56847;11670,0.0,0.0
HMR_2946,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
HMR_2955,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,-8.242295734817162e-13
HMR_0820,"Lactosylceramide Alpha-2, 3-Sialyltransferase",Glycosphingolipid metabolism,20454,0.0,0.0
HMR_2659,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12896;12908,0.0,0.0
PTRCAT1,Putrescine acetyltransferase,Arginine and proline metabolism,69215;20229,0.0,0.0
HMR_3063,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,74147,0.0,0.0
SMS1,"Sphingomyelin Synthase, Formation of Sm (D18:1/14:0)",Glycerophospholipid metabolism,74442;208449,0.0,0.0
ACP1_FMN,Acid phosphatase (FMN),Vitamin B2 metabolism,11433;66659;56318;11431,3.524291969370097e-12,0.0
PAN4PP,Phosphatase (pan4p),CoA catabolism,,0.0,0.0
RE2649C,Palmitoyl Coenzyme A Hydrolase,Bile acid synthesis,171281;217700;12012,0.0,0.0
GLCAT9g,Heparan glucuronyltransferase II,Chondroitin synthesis,14043;14042,0.0,0.0
